,1,2,3,4,5,6
Experiments,Bed,Container,Hour,Dye,Charlton_Athletic_F.C.,Gas_syringe
,Palette_knife,Oral_history,Foolscap,Imagination,Pantograph,Safety_lamp
Comets,Plaque,Amylase,Rickets,Bile,Dental_pulp,Dye
Oceanic_countries,List_of_French_football_teams,Fishing_net,Depth,Cost_of_living,London_Borough_of_Islington,London_Borough_of_Merton
Mechanics,Protease,List_of_French_football_teams,List_of_French_football_teams,List_of_mathematicians,Houseplant,London_Borough_of_Islington
Cartography,List_of_French_football_teams,Server_log,Palette_knife,Plaque,Charlton_Athletic_F.C.,Bankside
Messaging,Poland,Norway,Republic_of_China,Indonesia,Sweden,Turkey
Companies_listed_on_NASDAQ,Palette_knife,Mancala,Nim,Uncle,Dye,List_of_Portuguese_football_teams
Political_parties,Hill,Week,Plaque,Evidence,Air_space,Glass_rod
Non-verbal_communication,List_of_mathematicians,List_of_mathematicians,Server_log,Protease,Outer_space,Container
Physiology,List_of_mathematicians,Server_log,Service_economy,Value,Imagination,Fingerplate
Freedom,Palette_knife,Paperback,NEWI_Cefn_Druids_F.C.,Hawaiian_Islands,Sideboard,Aberystwyth_Town_F.C.
1859_births,Houseplant,List_of_Portuguese_football_teams,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth,London_Borough_of_Greenwich
Symbols,Protease,List_of_French_football_teams,Bed,Frying,List_of_mathematicians,Argon
Punishments,List_of_French_football_teams,Bankside,Bankside,Depth,NEWI_Cefn_Druids_F.C.,Coat
Medicine,List_of_French_football_teams,Protease,List_of_common_elements,List_of_mathematicians,Houseplant,Palette_knife
Chinese_language,Flame_(disambiguation),States_of_Germany,Glass_rod,A.F.C._Wimbledon,Safety_lamp,Hawaiian_Islands
Earth_sciences,Houseplant,Luggage,Christmas_stocking,Headrest,NEWI_Cefn_Druids_F.C.,Camden
1917_deaths,Houseplant,List_of_Portuguese_football_teams,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth,London_Borough_of_Greenwich
Politics_stubs,Protease,List_of_common_elements,Server_log,Governor_General,Hawaiian_Islands,Hawaiian_Islands
Microeconomics,List_of_mathematicians,Houseplant,Palette_knife,Luffa,A.F.C._Wimbledon,Sheffield_F.C.
History_of_Spain,Protease,Mudguard,Christmas_stocking,News_agency,Homophone,Dental_pulp
Quebec,Bed,List_of_mathematicians,London_Borough_of_Southwark,Camden,Dye,London_Borough_of_Islington
Limbs_and_extremities,Plaque,Amylase,Shovel,Rickets,Homophone,Bile
Police,Palette_knife,Oral_history,Foolscap,Imagination,Pantograph,Safety_lamp
Death,List_of_French_football_teams,Fishing_net,Vatican_City,1920s,Bed,London_Borough_of_Merton
Life,List_of_common_elements,List_of_mathematicians,Fishing_net,Container,Oral_history,Cognitive_science
Integumentary_system,Japan,Argentina,Austria,Brazil,Turkey,Angola
Glass,List_of_French_football_teams,Pantograph,NEWI_Cefn_Druids_F.C.,Middlesbrough_F.C.,Dye,Charlton_Athletic_F.C.
Crime,List_of_mathematicians,List_of_mathematicians,Dye,Dye,Dye,Palette_knife
Historians,List_of_common_elements,Protease,Fishing_net,Scientist,Condensation,Cosmology
Health,Hill,Houseplant,Houseplant,Minute,Spice,Governor_General
Nuclear_physics,Bed,Bed,Fishing_net,Alexander_Gode,Alexander_Gode,List_of_mathematicians
Geology,List_of_French_football_teams,List_of_common_elements,Bed,Bed,List_of_mathematicians,Palette_knife
Colleges_and_universities,Houseplant,Palette_knife,Uncle,Hawaiian_Islands,List_of_Portuguese_football_teams,London_Borough_of_Islington
American_technology_companies,Palette_knife,Mancala,Nim,Uncle,Dye,List_of_Portuguese_football_teams
Calendars,List_of_mathematicians,Houseplant,Palette_knife,Hour,NEWI_Cefn_Druids_F.C.,Hawaiian_Islands
International_standards,Protease,List_of_common_elements,Immunology,Container,Planet,Bed
Dialects_of_English,List_of_mathematicians,Palette_knife,Palette_knife,Hour,Swamp_cooler,Glass_rod
Ancient_Rome,Hill,Plaque,Evidence,Spice,Seam_ripper,Swamp_cooler
Provinces_of_China,List_of_French_football_teams,Oldham_Cricket_Club,Alexander_Gode,Hour,Hawaiian_Islands,Dye
Units_of_time,Protease,List_of_common_elements,List_of_mathematicians,List_of_mathematicians,List_of_French_football_teams,Frying
English_language,Protease,Protease,Protease,Container,Fishing_net,Houseplant
Greater_Middle_East,Palette,Governor_General,Hour,NEWI_Cefn_Druids_F.C.,Hawaiian_Islands,List_of_Portuguese_football_teams
1865_births,List_of_mathematicians,Imagination,Hour,Fingerplate,Camden,Dye
1936_deaths,List_of_mathematicians,Imagination,Hour,Fingerplate,Camden,Dye
Sino-Tibetan_languages,List_of_French_football_teams,List_of_common_elements,List_of_mathematicians,Tongue-twister,Fishing_net,North_America
Kitchenware,Elizabeth_II,Quebec,Server_log,List_of_common_elements,Pop_music,List_of_mathematicians
Computers,Protease,Protease,Protease,Houseplant,Palette_knife,1000_(number)
Pets,Protease,List_of_common_elements,Bed,List_of_mathematicians,Blindness,Minnesota_River
Europe,Language_families_and_languages,First_language,Bed,Swahili_language,Browser,Flea
Software_licences,Houseplant,NEWI_Cefn_Druids_F.C.,Hawaiian_Islands,Dye,List_of_Portuguese_football_teams,London_Borough_of_Islington
Pop_musicians,Romania,Afghanistan,Norway,Protease,Quebec,List_of_mathematicians
Encyclopedias,Protease,List_of_mathematicians,Palette_knife,Luffa,Hawaiian_Islands,Dye
Transition_metals,Christmas_stocking,Governor_General,Paperback,Plate,Generation,Hawaiian_Islands
Lists,List_of_French_football_teams,Protease,List_of_mathematicians,Hawaiian_Islands,Dye,Charlton_Athletic_F.C.
Gnosticism,List_of_French_football_teams,Protease,Bed,Alexander_Gode,Arabian_Peninsula,1000_(number)
Writing_tools,Botany,List_of_common_elements,Protease,List_of_mathematicians,Houseplant,Eurasia
Spreads,Protease,Frying,Floodlight,Movement,Professor,Open_source
Writing_systems,List_of_French_football_teams,List_of_common_elements,List_of_mathematicians,Tongue-twister,Fishing_net,North_America
Noble_gas,List_of_French_football_teams,Bed,Alexander_Gode,City_of_Westminster,Spice,Great_Plains
Politics,Protease,Protease,Protease,List_of_common_elements,Server_log,List_of_mathematicians
Law,Palette_knife,Palette_knife,Palette_knife,Palette_knife,Alexander_Gode,Alexander_Gode
Philosophy,Server_log,Week,Protease,Protease,Protease,Protease
Years,Protease,List_of_French_football_teams,List_of_common_elements,Frying,List_of_mathematicians,Alexander_Gode
Cosmology,Bed,Server_log,Alexander_Gode,Litre,List_of_mathematicians,Dye
Logic,Protease,List_of_mathematicians,List_of_mathematicians,Frying,Brazil,Turkey
Esperanto,Houseplant,List_of_Portuguese_football_teams,London_Borough_of_Islington,London_Borough_of_Merton,London_Borough_of_Wandsworth,London_Borough_of_Greenwich
